,Origin,Destination,Time (min),Summary,Directions
65,Wirtshaus zum Mitterhofer,ammAmma,2.0833333333333335,,Head north on Fichtestraße. Go for 47 m.Turn left onto Urbanstraße. Go for 68 m.Arrive at Urbanstraße. Your destination is on the left.
66,ammAmma,TZOM,4.6,,Head southeast on Urbanstraße. Go for 20 m.Turn left onto Grimmstraße. Go for 160 m.Turn left onto Dieffenbachstraße. Go for 76 m.Arrive at Dieffenbachstraße.
67,TZOM,Ron Telesky Canadian Pizza,2.9833333333333334,,Head east on Dieffenbachstraße. Go for 179 m.Arrive at Dieffenbachstraße. Your destination is on the left.
68,Ron Telesky Canadian Pizza,Kreuzberger Weltlaterne,10.583333333333334,,Head west on Dieffenbachstraße. Go for 51 m.Turn right. Go for 163 m.Turn slightly right onto Böckhstraße. Go for 13 m.Continue straight onto Admiralbrücke. Go for 229 m.Continue straight onto Admiralstraße. Go for 70 m.Walk right around the roundabout and turn at the 1st street Kohlfurter Straße. Go for 81 m.Arrive at Kohlfurter Straße.
69,Kreuzberger Weltlaterne,Stari Most,8.633333333333333,,Head west on Kohlfurter Straße. Go for 71 m.Walk right around the roundabout and turn at the 1st street Admiralstraße. Go for 195 m.Turn right onto Skalitzer Straße. Go for 41 m.Walk left around the roundabout and turn at the 4th street. Go for 92 m.Turn left. Go for 64 m.Arrive at your destination on the left.
70,Stari Most,Lasan,1.5666666666666667,,Head northeast. Go for 57 m.Turn right onto Adalbertstraße. Go for 25 m.Arrive at Adalbertstraße. Your destination is on the right.
71,Lasan,PHO,1.95,,Head northeast on Adalbertstraße. Go for 117 m.Arrive at Adalbertstraße. Your destination is on the right.
72,PHO,Maroush,0.31666666666666665,,Head northeast on Adalbertstraße. Go for 19 m.Arrive at Adalbertstraße.
73,Maroush,Green Rice,0.23333333333333334,,Head northeast on Adalbertstraße. Go for 14 m.Arrive at Adalbertstraße.
74,Green Rice,Rote Laterne,1.8333333333333333,,Head northeast on Adalbertstraße. Go for 27 m.Turn left onto Oranienstraße. Go for 73 m.Arrive at Oranienstraße.
75,Rote Laterne,Safran,0.11666666666666667,,Head northwest on Oranienstraße. Go for 7 m.Arrive at Oranienstraße. Your destination is on the right.
76,Safran,Santa Maria,0.43333333333333335,,Head northwest on Oranienstraße. Go for 26 m.Arrive at Oranienstraße. Your destination is on the right.
77,Santa Maria,2 Cool,0.4,,Head northwest on Oranienstraße. Go for 24 m.Arrive at Oranienstraße. Your destination is on the right.
78,2 Cool,Tsukushiya - Japanese Deli,3.216666666666667,,Head northwest on Oranienstraße. Go for 72 m.Turn left. Go for 31 m.Turn left onto Dresdener Straße. Go for 75 m.Arrive at Dresdener Straße.
79,Tsukushiya - Japanese Deli,Cevichería,0.36666666666666664,,Head northwest on Dresdener Straße. Go for 22 m.Arrive at Dresdener Straße. Your destination is on the left.
80,Cevichería,Sol y Sombra,3.533333333333333,,Head northwest on Dresdener Straße. Go for 99 m.Turn left onto Oranienplatz. Go for 21 m.Turn right. Go for 23 m.Turn slightly left. Go for 57 m.Arrive at your destination on the left.
81,Sol y Sombra,Max und Moritz,2.3,,Head southeast. Go for 19 m.Turn right. Go for 60 m.Turn slightly right onto Oranienstraße. Go for 54 m.Arrive at Oranienstraße.
82,Max und Moritz,Tourlou,6.266666666666667,,Head southeast on Oranienstraße. Go for 54 m.Turn right onto Oranienplatz. Go for 258 m.Turn right onto Ritterstraße. Go for 44 m.Arrive at Ritterstraße. Your destination is on the right.
83,Tourlou,Shishi,6.383333333333334,,Head southeast on Ritterstraße. Go for 44 m.Turn left onto Segitzdamm. Go for 114 m.Turn left onto Prinzessinnenstraße. Go for 208 m.Arrive at Prinzessinnenstraße.
84,Shishi,King's Chicken,1.5166666666666666,,Head northwest on Prinzessinnenstraße. Go for 87 m.Arrive at Oranienstraße. Your destination is on the right.
85,King's Chicken,Pacifico,3.2,,Head northwest on Oranienstraße. Go for 58 m.Walk right around the roundabout and turn at the 2nd street Oranienstraße. Go for 114 m.Arrive at Oranienstraße. Your destination is on the left.
86,Pacifico,Akçaabat Köftesi,3.816666666666667,,Head northwest on Oranienstraße. Go for 34 m.Turn slightly right onto Oranienstraße. Go for 189 m.Arrive at Oranienstraße. Your destination is on the right.
87,Akçaabat Köftesi,Techspace,2.8333333333333335,,Head northeast on Oranienstraße. Go for 71 m.Turn right onto Oranienstraße. Go for 97 m.Arrive at Lobeckstraße. Your destination is on the left.
